kode_prodi,nama_prodi,daya_tampung_2019,jumlah_peminat_2018,jumlah_peminat_2017,jumlah_peminat_2016,daya_tampung_2018,daya_tampung_2017,daya_tampung_2016,sma_ipa_2018,sma_ipa_2017,sma_ipa_2016,ma_ipa_2018,ma_ipa_2017,ma_ipa_2016,sma_ips_2018,sma_ips_2017,sma_ips_2016,ma_ips_2018,ma_ips_2017,ma_ips_2016,smk_ipa_2018,smk_ipa_2017,smk_ipa_2016,smk_ips_2018,smk_ips_2017,smk_ips_2016,smk_agama_2018,smk_agama_2017,smk_agama_2016,aceh_2018,aceh_2017,aceh_2016,sumatera_utara_2018,sumatera_utara_2017,sumatera_utara_2016,riau_2018,riau_2017,riau_2016,bengkulu_2018,bengkulu_2017,bengkulu_2016,kalimantan_barat_2018,kalimantan_barat_2017,kalimantan_barat_2016
3362054,ADMINISTRASI PUBLIK,98,1220,1285,1098,108,96,96,314,347,277,74,104,66,477,415,397,130,165,136,56,51,59,114,127,114,4,8,5,1,2,1,5,18,8,1,3,9,2,2,,2,,2
3511042,FISIKA,41,366,342,306,37,36,29,296,265,243,47,64,47,,,1,,,,15,13,13,2,,1,,,,,,,3,3,3,,1,2,,1,,1,,
3362031,ILMU HUKUM,64,1042,820,544,66,56,48,313,224,127,95,92,46,352,267,195,118,121,72,52,35,37,28,32,20,9,3,2,4,4,3,18,10,7,1,7,2,2,2,1,5,1,2
3362062,ILMU KOM. KONST. HUMAS,38,839,735,424,44,36,30,215,177,109,52,57,21,355,273,157,73,78,46,42,46,28,49,52,38,4,,,1,,,7,5,2,1,,3,1,2,,,5,
3362015,SOSIOLOGI,122,891,778,525,95,80,72,95,85,65,24,28,17,454,389,263,222,181,102,21,31,29,35,25,16,3,1,2,,3,2,7,5,3,1,3,1,1,2,,,2,
3361082,AGROTEKNOLOGI,33,613,600,563,18,32,32,424,406,391,119,114,84,7,10,13,6,7,5,40,47,60,4,2,1,1,,1,1,1,,9,7,9,1,1,3,1,,,,1,1
3511096,TEKNIK SIPIL,50,1688,1530,1323,48,45,34,1199,1040,884,89,80,69,33,36,31,6,10,7,297,304,273,14,15,14,3,2,3,3,,,12,13,10,6,7,2,,1,,1,,1
3361066,TEKNIK INFORMATIKA,48,1292,1182,1056,39,48,32,675,536,496,161,145,129,50,51,33,30,35,33,291,299,261,26,30,38,6,18,9,6,2,2,14,7,4,6,4,6,5,1,4,5,3,
3361074,TEKNIK ELEKTRO,34,534,413,313,39,32,32,297,199,156,49,53,30,12,4,3,5,4,4,141,123,102,2,8,1,6,,2,,,,3,3,2,3,,2,1,,2,2,,
3361027,MATEMATIKA,35,517,423,280,43,32,32,360,308,184,86,60,34,6,5,8,11,9,8,34,33,26,3,4,7,3,,2,3,,1,5,4,3,1,1,,1,,1,,1,
3361043,FISIKA,18,204,160,146,23,16,32,139,115,103,48,27,28,,2,,1,,1,13,10,11,,1,1,,,,,,,3,,2,,,,,,,,,
3361051,KIMIA,35,473,429,280,35,32,32,338,277,182,80,84,56,1,1,,3,1,1,43,57,33,,1,1,1,,,,1,,1,,,,,,,,,,,1
3362077,ILMU KOM. KONST. JURNALISTIK,71,1103,995,735,82,72,48,269,243,197,122,79,46,357,290,198,115,126,83,96,105,90,64,62,57,5,6,5,4,2,1,8,10,5,6,3,3,2,1,,1,2,2
3361035,BIOLOGI,38,775,613,546,43,32,32,562,408,370,171,162,125,,4,6,5,2,3,24,29,22,3,,3,,1,,1,1,2,3,2,5,3,1,,2,,1,,,
3812184,AKUNTANSI (PSDKU BANYUWANGI),20,218,197,217,20,18,20,60,51,51,12,9,7,63,72,90,15,21,14,13,7,4,45,30,40,,,,1,,,3,4,6,,1,1,,,,,,
3832432,PEND. ILMU PENGETAHUAN SOSIAL,44,480,318, - ,40,12, - ,55,29,,20,15,,232,151,,120,82,,8,14,,24,12,,2,1,,,,,,1,,,,,,1,,,,
3832447,EKONOMI,21,568,713, - ,23,21, - ,104,125,,19,34,,167,236,,62,73,,32,44,,148,161,,,3,,2,,,3,10,,,,,,,,,,
3852081,ILMU HUKUM,120,1499,1232,1144,69,63,57,496,390,357,39,17,27,784,691,597,56,35,38,31,33,46,47,33,43,1,3,3,,,,15,30,26,,,5,2,2,,,1,
3862326,HUKUM,18, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3842136,PENDIDIKAN GURU ANAK USIA DINI,68,290,237,300,78,60,36,67,68,72,61,33,50,56,54,71,64,44,57,14,16,15,17,8,21,2,3,,,,,,,,,,,,,,,,
3822027,STUDI PEMBANGUNAN,20, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3852073,ILMU HUBUNGAN INTERNASIONAL,60,707,721,589,30,21,20,279,235,227,19,24,20,261,278,220,19,28,24,32,55,24,58,54,38,,3,1,,,1,6,9,5,,2,,2,,1,,,
5512111,PENDIDIKAN GURU SEKOLAH DASAR,50,377,449,566,26,24,32,109,133,132,11,10,17,172,201,218,14,9,26,22,36,66,33,43,66,1,2,1,,,,1,2,1,,1,,,1,,1,,1
5112315,ANTROPOLOGI SOSIAL ,26,118,72,114,22,22,25,17,6,11,,,,63,39,60,27,23,34,3,1,4,7,,2,,,,,,,3,1,4,,,,,,,110,70,107
5421132,TEKNIK LINGKUNGAN,44,307, - , - ,48, - , - ,205,,,14,,,34,,,3,,,41,,,1,,,1,,,,,,5,,,1,,,,,,2,,
5412261,PENDIDIKAN SEJARAH,19,206, - , - ,15, - , - ,42,,,3,,,113,,,11,,,5,,,21,,,,,,,,,2,,,,,,,,,,,
5421116,TEKNIK INDUSTRI,57,357, - , - ,48, - , - ,242,,,14,,,32,,,3,,,47,,,8,,,2,,,1,,,13,,,,,,,,,2,,
5421147,TEKNIK KELAUTAN,51,68, - , - ,24, - , - ,42,,,,,,5,,,1,,,13,,,3,,,,,,,,,3,,,,,,1,,,1,,
5421097,TEKNIK PERKAPALAN,63,127,172,177,48,50,60,69,101,86,5,2,7,15,14,20,,1,,26,31,51,5,8,4,,1,1,,,,9,11,9,,,1,,,,1,1,1
3742135,PERPUSTAKAAN DAN ILMU INFORMASI,44, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5211127,PEND. FISIKA ,58,48,71,77,32,32,37,40,59,62,,3,5,,1,3,,,,6,8,5,,,2,,,,,,,12,16,7,,,,,,,1,,
5421101,SISTEM INFORMASI,54,381,753,510,48,50,50,177,322,216,9,18,12,64,94,78,3,4,8,92,248,133,14,37,23,1,1,5,,,,7,11,7,,,4,,1,,12,14,10
5421074,TEKNIK SIPIL,49,408,485,469,48,50,50,236,259,261,13,14,15,41,53,39,3,3,3,90,116,101,14,11,19,1,3,4,1,,,6,9,8,1,1,,,,,11,7,6
5421082,PERENCANAAN WILAYAH DAN KOTA,49,384,520,531,48,50,50,240,327,324,15,12,15,80,90,83,7,3,3,25,65,79,8,9,11,,,3,,,,2,3,5,,1,,,,,3,5,7
5312236,PENDIDIKAN IPS,51,148,161,195,37,29,24,13,14,15,3,6,7,78,89,105,31,38,50,13,6,6,7,7,6,,,,,,,,2,2,,,,,,,,,
5312252,SOSIOLOGI,84, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5312221,TEKNOLOGI  PENDIDIKAN,43,147,117,115,38,29,20,29,28,32,9,6,4,51,37,45,14,5,8,19,24,14,18,8,3,1,,1,,,,1,,,,,,,,,,,
5312213,PENDIDIKAN SENDRATASIK,18,154,158,61,28,25,16,53,53,23,9,15,6,44,47,16,14,8,1,12,10,6,7,11,5,,,2,,,,,,,,,,,,,,,
3732373,ILMU PERPUSTAKAAN,36,756,563,810,20,20,13,153,115,178,46,30,58,293,207,256,65,47,86,61,48,93,67,45,68,2,,,1,3,,4,5,5,1,4,3,1,,1,2,,2
6112226,ILMU POLITIK,35,400,321,187,30,45,22,157,121,77,10,4,1,203,165,89,5,5,5,5,4,4,8,11,5,,,,3,1,,74,41,19,4,,,,,,,,
6112211,ILMU KOMUNIKASI,35,917,797,475,26,45,12,399,339,217,15,9,12,350,320,146,11,14,1,22,32,36,57,40,23,1,,,,1,,62,48,12,6,3,2,,,3,2,1,
6112184,PSIKOLOGI,48,995,788,658,30,18,18,614,490,437,15,10,14,269,210,134,11,9,8,32,32,29,26,14,9,,,,1,,,59,29,19,5,1,3,1,,1,1,2,1
6112176,SOSIOLOGI,35,313,263,120,26,21,22,50,41,19,2,2,,204,168,74,16,17,10,4,10,6,20,18,3,,,1,2,,,55,27,11,7,1,1,,,,1,,
5421124,INFORMATIKA,42,558, - , - ,48, - , - ,243,,,23,,,85,,,7,,,153,,,19,,,3,,,1,,,14,,,,,,,,,22,,
6112153,INDUSTRI PERJALANAN WISATA,50,589,292,212,31,21,20,164,89,57,13,3,4,204,98,62,14,6,6,21,17,8,78,37,37,2,,,2,1,,66,30,18,4,2,1,,,,5,1,
5312205,PG-PAUD,93,310,394,482,72,55,40,105,122,172,52,48,70,79,116,117,24,32,41,11,12,29,21,48,33,,,,,,,,1,,,,,,,,,,
6112203,ADMINISTRASI NEGARA,35,1102,958,635,31,21,12,574,491,330,9,12,7,352,322,203,14,21,9,17,12,10,86,67,46,,,1,,,,56,47,23,1,3,1,,,,,,1
6112114,SASTRA DAERAH UNTUK SASTRA BALI,25,49,35,26,22,42,25,23,22,11,,,,11,7,7,2,,1,1,,2,4,3,2,2,,,,1,,,,,,,,,,,1,,
6112145,DESTINASI PARIWISATA,53,1169,692,428,32,20,28,404,209,128,28,10,9,442,265,153,17,12,5,28,17,10,102,61,48,2,2,1,6,1,1,128,68,36,6,4,2,2,1,1,13,4,4
6112095,SASTRA INGGRIS,121,1019,959,800,50,33,33,483,486,418,22,19,15,252,237,165,10,8,5,32,25,31,56,39,46,3,,,1,,,39,23,26,1,3,2,1,1,1,1,2,1
6112087,SASTRA INDONESIA,33,176,136,106,29,28,25,59,42,32,3,4,3,52,47,22,6,1,7,8,8,8,17,11,11,1,,1,1,,,32,17,5,2,1,1,,,,,,
6112161,HUBUNGAN INTERNASIONAL,36,1011,864,575,29,21,12,535,427,308,18,10,8,325,285,180,14,9,3,19,20,16,31,39,10,,,,1,,,49,42,19,3,2,1,,1,,3,2,
6112072,MANAJEMEN,156,2980,2658,2240,61,45,45,1489,1372,1222,37,37,34,989,849,645,33,30,26,52,50,41,245,205,164,,1,,1,2,,34,35,16,2,,2,3,,,2,3,3
